Round,Benchmark,Known Lower/Upper Bound,Tested Bound,Result,Precision,Analysis Time (sec),Instruction Count,Completed Paths,Subsumed Paths
1,tcas,"1-5000",5000,Safe,1.00,0.53,26072,170,36
2,tcas,"1-5000",2500,Safe,1.00,0.49,26072,170,36
3,tcas,"1-2500",1250,Safe,1.00,0.48,26072,170,36
4,tcas,"1-1250",625,Safe,1.00,0.49,26072,170,36
5,tcas,"1-625",313,Safe,1.00,0.48,26072,170,36
6,tcas,"1-313",157,Safe,1.00,0.51,26072,170,36
7,tcas,"1-157",79,Safe,1.00,0.49,26072,170,36
8,tcas,"1-79",40,Safe,2.00,0.50,26072,170,36
9,tcas,"1-40",20,No (27),3.00,0.00,0,-,-
10,tcas,"27-40",33,No (34),74.00,0.00,0,-,-
11,tcas,"34-40",37,Safe,89.00,0.54,26072,170,36
12,tcas,"34-37",35,Safe,95.00,0.49,26072,170,36
13,tcas,"34-35",34,No (35),98.00,0.00,0,-,-
14,tcas,"35-35",35,Safe,100.00,0.49,26072,170,36
-,tcas,"35-35",-,Safe,100.00,-,-
,,,,,,,,
1,fly_by_wire,"1-20000",20000,Safe,1.00,1.55,25087,114,301
2,fly_by_wire,"1-20000",10000,Safe,1.00,1.48,25087,114,301
3,fly_by_wire,"1-10000",5000,Safe,1.00,1.51,25087,114,301
4,fly_by_wire,"1-5000",2500,Safe,1.00,1.50,25087,114,301
5,fly_by_wire,"1-2500",1250,Safe,1.00,1.49,25087,114,301
6,fly_by_wire,"1-1250",625,Safe,1.00,1.53,25087,114,301
7,fly_by_wire,"1-625",313,Safe,1.00,1.51,25087,114,301
8,fly_by_wire,"1-313",157,No (168),1.00,0.00,0,-,-
9,fly_by_wire,"168-313",240,Safe,60.00,1.51,25087,114,301
10,fly_by_wire,"168-240",204,Safe,76.00,1.50,25087,114,301
11,fly_by_wire,"168-204",186,Safe,87.00,1.48,25087,114,301
12,fly_by_wire,"168-186",177,Safe,93.00,1.54,25087,114,301
13,fly_by_wire,"168-177",172,No (173),97.00,0.00,0,-,-
14,fly_by_wire,"173-177",175,No (176),99.00,0.00,0,-,-
15,fly_by_wire,"176-177",176,No (177),100.00,1.06,19946,-,-
16,fly_by_wire,"177-177",177,Safe,100.00,1.49,25087,114,301
-,fly_by_wire,"177-177",-,Safe,100.00,-,-
,,,,,,,,
1,nsichneu,"1-50000",50000,Safe,1.00,83.23,1176960,511,44
2,nsichneu,"1-50000",25000,Safe,1.00,83.77,1176960,511,44
3,nsichneu,"1-25000",12500,Safe,1.00,84.02,1176960,511,44
4,nsichneu,"1-12500",6250,Safe,1.00,84.58,1176960,511,44
5,nsichneu,"1-6250",3125,Safe,1.00,82.27,1176960,511,44
6,nsichneu,"1-3125",1563,Safe,1.00,83.24,1176960,511,44
7,nsichneu,"1-1563",782,Safe,1.00,82.75,1176960,511,44
8,nsichneu,"1-782",391,No (482),1.00,15.74,166387,-,-
9,nsichneu,"482-782",632,Safe,68.00,84.35,1176960,511,44
10,nsichneu,"482-632",557,Safe,82.00,82.50,1176960,511,44
11,nsichneu,"482-557",519,Safe,90.00,85.92,1176960,511,44
12,nsichneu,"482-519",500,No (510),95.00,72.55,1001497,-,-
13,nsichneu,"510-519",514,Safe,99.00,83.79,1176960,511,44
-,nsichneu,"510-514",-,Safe,100.00,-,-
,,,,,,,,
1,expint,"1-50000",50000,Safe,1.00,0.11,6188,2,0
2,expint,"1-50000",25000,Safe,1.00,0.09,6188,2,0
3,expint,"1-25000",12500,Safe,1.00,0.12,6188,2,0
