Round,Benchmark,Known Lower/Upper Bound,Tested Bound,Result,Precision,Analysis Time (sec),Instruction Count,Completed Paths,Subsumed Paths
1,tcas,"1-5000",5000,Safe,1.00,0.67,25633,156,47
2,tcas,"1-5000",2500,Safe,1.00,0.63,25633,156,47
3,tcas,"1-2500",1250,Safe,1.00,0.64,25633,156,47
4,tcas,"1-1250",625,Safe,1.00,0.64,25633,156,47
5,tcas,"1-625",313,Safe,1.00,0.65,25633,156,47
6,tcas,"1-313",157,Safe,1.00,0.63,25633,156,47
7,tcas,"1-157",79,Safe,1.00,0.64,25633,156,47
8,tcas,"1-79",40,Safe,2.00,0.63,25633,156,47
9,tcas,"1-40",20,No (27),3.00,0.00,0,-,-
10,tcas,"27-40",33,No (34),74.00,0.00,0,-,-
11,tcas,"34-40",37,Safe,89.00,0.64,25633,156,47
12,tcas,"34-37",35,Safe,95.00,0.65,25633,156,47
13,tcas,"34-35",34,No (35),98.00,0.00,0,-,-
14,tcas,"35-35",35,Safe,100.00,0.68,25633,156,47
-,tcas,"35-35",-,Safe,100.00,-,-
,,,,,,,,
1,fly_by_wire,"1-20000",20000,Safe,1.00,0.33,4220,8,65
2,fly_by_wire,"1-20000",10000,Safe,1.00,0.31,4220,8,65
3,fly_by_wire,"1-10000",5000,Safe,1.00,0.34,4220,8,65
4,fly_by_wire,"1-5000",2500,Safe,1.00,0.31,4220,8,65
5,fly_by_wire,"1-2500",1250,Safe,1.00,0.31,4220,8,65
6,fly_by_wire,"1-1250",625,Safe,1.00,0.31,4220,8,65
7,fly_by_wire,"1-625",313,Safe,1.00,0.31,4220,8,65
8,fly_by_wire,"1-313",157,No (168),1.00,0.00,0,-,-
9,fly_by_wire,"168-313",240,Safe,60.00,0.31,4220,8,65
10,fly_by_wire,"168-240",204,Safe,76.00,0.31,4220,8,65
11,fly_by_wire,"168-204",186,Safe,87.00,0.40,7166,8,108
12,fly_by_wire,"168-186",177,Safe,93.00,0.35,5372,8,81
